1601927757,503615,101114.0,93716.0,287.54,2,24.89,58.05,312.02,3120.25,38.31
1601927760,506614,101112.0,93611.0,286.48,2,24.9,57.99,311.64,3116.42,38.09
1601927763,509614,101112.0,94033.0,284.95,2,24.9,57.93,310.73,3107.25,37.56
1601927766,512614,101112.0,94033.0,283.72,2,24.91,57.84,310.14,3101.4,37.23
1601927769,515614,101114.0,93927.0,282.87,2,24.92,57.78,309.95,3099.53,37.13
1601927772,518614,101112.0,94246.0,281.62,2,24.93,57.73,309.33,3093.32,36.78
1601927775,521615,101114.0,94459.0,280.27,2,24.95,57.64,308.58,3085.83,36.37
1601927778,524615,101114.0,94459.0,279.17,2,24.95,57.61,308.12,3081.18,36.11
1601927781,527614,101112.0,94997.0,277.46,2,24.95,57.61,306.95,3069.51,35.48
1601927784,530614,101112.0,94781.0,276.44,2,24.96,57.52,306.56,3065.56,35.27
1601927787,533615,101112.0,94246.0,276.38,2,24.96,57.47,307.23,3072.31,35.63
1601927790,536614,101112.0,94889.0,275.24,2,24.97,57.38,306.69,3066.86,35.34
1601927793,539615,101112.0,95105.0,274.0,2,24.96,57.38,306.02,3060.25,34.99
1601927796,542615,101112.0,95214.0,272.84,2,24.97,57.3,305.45,3054.46,34.68
1601927799,545614,101112.0,95322.0,271.74,2,24.97,57.31,304.92,3049.21,34.41
1601927802,548615,101110.0,95650.0,270.35,2,24.98,57.25,304.07,3040.71,33.97
1601927805,551614,101110.0,95322.0,269.72,2,24.98,57.25,304.08,3040.75,33.97
1601927808,554614,101112.0,95431.0,268.97,2,24.99,57.22,303.94,3039.37,33.9
1601927811,557615,101112.0,94440.0,269.74,2,24.99,57.19,305.53,3055.33,34.73
1601927814,560614,101112.0,95760.0,268.21,2,24.99,57.18,304.5,3045.04,34.19
1601927817,563614,101112.0,94708.0,268.54,2,24.98,57.18,305.59,3055.93,34.76
1601927820,566615,101110.0,95760.0,267.11,2,24.99,57.1,304.66,3046.63,34.27
1601927823,569615,101110.0,95870.0,265.84,2,24.99,57.07,303.9,3039.0,33.88
1601927826,572615,101112.0,94923.0,266.16,2,24.99,57.04,304.99,3049.89,34.44
1601927829,575614,101112.0,94815.0,266.41,2,24.98,57.05,305.98,3059.81,34.96
1601927832,578615,101112.0,94761.0,266.5,2,24.98,57.03,306.81,3068.08,35.4
1601927835,581614,101112.0,95085.0,265.96,2,24.99,57.0,306.88,3068.82,35.44
1601927838,584614,101112.0,94815.0,265.82,2,24.99,56.99,307.43,3074.25,35.73
1601927841,587614,101110.0,94869.0,265.49,2,24.99,57.03,307.74,3077.43,35.91
1601927844,590614,101112.0,94708.0,265.33,2,24.99,57.02,308.27,3082.71,36.19
1601927847,593614,101110.0,95031.0,264.62,2,25.0,56.98,308.13,3081.33,36.12
1601927850,596614,101112.0,95412.0,263.45,2,24.99,56.99,307.46,3074.6,35.75
1601927853,599614,101112.0,94708.0,263.48,2,25.0,56.92,308.2,3082.0,36.16
1601927856,602614,101112.0,94923.0,263.06,2,25.0,56.91,308.39,3083.92,36.26
1601927859,605614,101112.0,95740.0,261.47,2,25.01,56.9,307.2,3072.03,35.61
1601927862,608614,101112.0,95194.0,260.98,2,25.0,56.96,307.31,3073.14,35.67
1601927865,611614,101114.0,95521.0,260.04,2,25.0,56.96,306.88,3068.82,35.44
1601927868,614614,101110.0,95521.0,259.26,2,24.99,56.96,306.63,3066.29,35.31
1601927871,617615,101114.0,95140.0,259.08,2,25.0,56.92,307.11,3071.08,35.56
1601927874,620614,101114.0,95357.0,258.52,2,25.0,56.89,307.12,3071.18,35.57
